Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas,Link Relatório
3,dom,2024-09-01,20:45,Juventus,0.5,0–0,0.3,Roma,,Allianz Stadium,Marco Guida,Relatório da Partida,,/pt/partidas/6a978d77/Juventus-Roma-2024Setembro1-Serie-A
4,sáb,2024-09-14,15:00,Como,1.2,2–2,1.2,Bologna,,Stadio Giuseppe Sinigaglia,Marco Piccinini,Relatório da Partida,,/pt/partidas/30c9c7af/Como-Bologna-2024Setembro14-Serie-A
4,sáb,2024-09-14,18:00,Empoli,0.5,0–0,0.9,Juventus,,Stadio Carlo Castellani - Computer Gross...,Marco Di Bello,Relatório da Partida,,/pt/partidas/5ede3e48/Empoli-Juventus-2024Setembro14-Serie-A
4,sáb,2024-09-14,20:45,Milan,2.2,4–0,0.3,Venezia,,Stadio Giuseppe Meazza,Davide Di Marco,Relatório da Partida,,/pt/partidas/ec4ceae1/Milan-Venezia-2024Setembro14-Serie-A
4,dom,2024-09-15,12:30,Genoa,1.2,1–1,2.2,Roma,,Stadio Comunale Luigi Ferraris,Antonio Giua,Relatório da Partida,,/pt/partidas/ad2de1d0/Genoa-Roma-2024Setembro15-Serie-A
4,dom,2024-09-15,15:00,Atalanta,1.7,3–2,1.7,Fiorentina,,Gewiss Stadium,Juan Luca Sacchi,Relatório da Partida,,/pt/partidas/c69565c7/Atalanta-Fiorentina-2024Setembro15-Serie-A
4,dom,2024-09-15,15:00,Torino,0.4,0–0,1.6,Lecce,,Stadio Olimpico Grande Torino,Andrea Colombo,Relatório da Partida,,/pt/partidas/dab3859c/Torino-Lecce-2024Setembro15-Serie-A
4,dom,2024-09-15,18:00,Cagliari,1.0,0–4,1.9,Napoli,,Unipol Domus,Federico La Penna,Relatório da Partida,,/pt/partidas/226b0118/Cagliari-Napoli-2024Setembro15-Serie-A
4,dom,2024-09-15,20:45,Monza,0.2,1–1,1.7,Inter,,U-Power Stadium,Luca Pairetto,Relatório da Partida,,/pt/partidas/cb14ff92/Monza-Internazionale-2024Setembro15-Serie-A
4,seg,2024-09-16,18:30,Parma,0.8,2–3,2.5,Udinese,,Stadio Ennio Tardini,Rosario Abisso,Relatório da Partida,,/pt/partidas/580f27c1/Parma-Udinese-2024Setembro16-Serie-A
4,seg,2024-09-16,20:45,Lazio,1.3,2–1,0.7,Hellas Verona,,Stadio Olimpico,Luca Zufferli,Relatório da Partida,,/pt/partidas/45f09f95/Lazio-Hellas-Verona-2024Setembro16-Serie-A
